,Timestamp,"//*[@name=""email""]_RELOC",class nameinputtext_SEL,nameemail_SEL,idemail_SEL,"xpath//*[@id=""email""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _703 "")]/li[34]_RELOC","xpath//*[@id=""pageFooterChildren""]/ul/li[34]_SEL","//*[@id=""content""]_RELOC",class namefb_content_SEL,idcontent_SEL,"xpath//*[@id=""content""]_SEL","//*[@value=""Leita""]_RELOC","xpath//*[@id=""wmtb""]/input[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _6-j "")]/li[7]_RELOC","xpath//*[@id=""pageFooter""]/ul/li[7]_SEL","//*[@style=""margin:0!important;padding:0!important;color:#666;font-size:9px;padding-top:2px!important;white-space:nowrap;""]_RELOC","xpath//*[@id=""wm-ipp-inside""]/table/tbody/tr/td[2]/table/tbody/tr[2]/td/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _3_s2 "")]/span[1]_RELOC",class name_55pe_SEL,"xpath//*[@id=""u_0_9_Xm""]/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _6-j "")]/li[1]_RELOC","xpath//*[@id=""pageFooter""]/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _703 "")]/li[13]_RELOC","xpath//*[@id=""pageFooterChildren""]/ul/li[13]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _703 "")]/li[28]_RELOC","xpath//*[@id=""pageFooterChildren""]/ul/li[28]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _703 "")]/li[3]_RELOC","xpath//*[@id=""pageFooterChildren""]/ul/li[3]_SEL","//*[@name=""url""]_RELOC",nameurl_SEL,idwmtbURL_SEL,"xpath//*[@id=""wmtbURL""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _8ice "")]_RELOC",class name_8ice_SEL,"xpath//*[@id=""content""]/div/div/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _703 "")]/li[4]_RELOC","xpath//*[@id=""pageFooterChildren""]/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _1kbt "")]_RELOC",class name_6luy_SEL,idpassContainer_SEL,"xpath//*[@id=""passContainer""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _8esl "")]_RELOC",class name_8esl_SEL,"xpath//*[@id=""content""]/div/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _703 "")]/li[2]_RELOC","xpath//*[@id=""pageFooterChildren""]/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _95ka "")]_RELOC",class name_8esj_SEL,"xpath//*[@id=""content""]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _703 "")]/li[25]_RELOC","xpath//*[@id=""pageFooterChildren""]/ul/li[25]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _6-j "")]/li[8]_RELOC","xpath//*[@id=""pageFooter""]/ul/li[8]_SEL"
0,20210512111524,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
1,20210513164607,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,20210514111525,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
3,20210515111520,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
4,20210516111523,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
5,20210517111525,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
6,20210518124615,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,20210519111520,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
8,20210520162904,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,20210521111526,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
10,20210522111525,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
11,20210523111521,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
12,20210524111526,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
