,Timestamp,//ul/li[16]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[16]_SEL,//ul/li[18]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[18]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" back "")]_RELOC",class nameback_SEL,xpath//html/body/div/div[2]/div[2]_SEL,//ul/li[19]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[19]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" koubei "")]_RELOC",class nameseller-entry_SEL,xpath//html/body/div/div[2]/div[1]/div/div[2]/div/a[3]/span[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav "")]_RELOC",class namenav_SEL,xpath//html/body/div/div[1]/div_SEL,//ul/li[23]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[23]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-links "")]_RELOC",class namenav-links_SEL,xpath//html/body/div/div[3]/div[1]_SEL,//*ul_RELOC,xpath//html/body/div/div[3]/div[1]/ul_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ownership "")]_RELOC",class nameownership_SEL,xpath//html/body/div/div[3]/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" developer "")]_RELOC",class namedeveloper_SEL,xpath//html/body/div/div[2]/div[1]/div/div[2]/div/a[2]/span/i_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" logo "")]_RELOC",class namelogo_SEL,xpath//html/body/div/div[1]/div/div[1]_SEL,//*title_RELOC,xpath//html/head/meta[2]/title_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" content "")]_RELOC",class namecontent_SEL,xpath//html/body/div/div[2]/div[1]_SEL,//ul/li[1]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" header "")]_RELOC",class nameheader_SEL,xpath//html/body/div/div[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" merchant-login "")]/s_RELOC",xpath//html/body/div/div[2]/div[1]/div/div[2]/div/a[4]/s_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" personal-login "")]/span_RELOC",class nametitle_SEL,xpath//html/body/div/div[2]/div[1]/div/div[2]/div/a[5]/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" personal-developer-login "")]/s_RELOC",xpath//html/body/div/div[2]/div[1]/div/div[2]/div/a[2]/s_SEL,"//*[@id=""ServerNum""]_RELOC",idServerNum_SEL,"xpath//*[@id=""ServerNum""]_SEL","//*[@http-equiv=""X-UA-Compatible""]/link[2]/style[1]_RELOC",xpath//html/head/meta[2]/link[2]/style[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" seller "")]_RELOC",class nameseller_SEL,xpath//html/body/div/div[2]/div[1]/div/div[2]/div/a[3]/span[1]/i_SEL,//ul/li[14]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[14]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" inerval-line "")]_RELOC",class nameinerval-line_SEL,xpath//html/body/div/div[2]/div[1]/div/div[2]/div/a[3]/span[3]_SEL,//ul/li[17]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[17]_SEL,//ul/li[6]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[6]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" main "")]_RELOC",class namemain_SEL,xpath//html/body/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" isv-developer "")]_RELOC",class nameisv-developer_SEL,xpath//html/body/div/div[2]/div[1]/div/div[2]/div/a[1]/span/i_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" item2 "")]_RELOC",class nameitem_SEL,xpath//html/body/div/div[2]/div[2]/div/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" wrap "")]_RELOC",class namewrap_SEL,xpath//html/body/div/div[2]/div[1]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" slogan "")]_RELOC",class nameslogan_SEL,xpath//html/body/div/div[2]/div[1]/div/div[1]_SEL,//*img_RELOC,class nameipv6_SEL,xpath//html/body/div/div[1]/div/img_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" merchant-login "")]/span_RELOC",xpath//html/body/div/div[2]/div[1]/div/div[2]/div/a[4]/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" personal-login "")]/s_RELOC",xpath//html/body/div/div[2]/div[1]/div/div[2]/div/a[5]/s_SEL,//*p_RELOC,"xpath//*[@id=""ServerNum""]/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer "")]_RELOC",class namefooter_SEL,xpath//html/body/div/div[3]_SEL,//ul/li[10]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[10]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" personal "")]_RELOC",class namepersonal_SEL,xpath//html/body/div/div[2]/div[1]/div/div[2]/div/a[5]/span/i_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" item3 "")]_RELOC",xpath//html/body/div/div[2]/div[2]/div/div[3]_SEL,//ul/li[7]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[7]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" merchant "")]_RELOC",class namemerchant_SEL,xpath//html/body/div/div[2]/div[1]/div/div[2]/div/a[4]/span/i_SEL,//ul/li[2]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[2]_SEL,//ul/li[15]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[15]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" item1 "")]_RELOC",xpath//html/body/div/div[2]/div[2]/div/div[1]_SEL,//ul/li[4]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" main-entry "")]_RELOC",class namemain-entry_SEL,xpath//html/body/div/div[2]/div[1]/div/div[2]/div_SEL,//ul/li[21]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[21]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" mid "")]_RELOC",class namemid_SEL,xpath//html/body/div/div[2]/div[1]/div/div[2]_SEL,//ul/li[22]_RELOC,xpath//html/body/div/div[3]/div[1]/ul/li[22]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")]_RELOC",class namecontainer_SEL,xpath//html/body/div/div[2]_SEL
0,20220127044407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,20220128140832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,20220129231410,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,20220130222622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,20220131203423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,20220201141346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,20220202080832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,20220203165009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,20220204070415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,20220205080024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,20220206083828,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,20220207210846,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
